comments,
Não é o 500x!!! Enquanto aguardo este lindo uso o 500 !!! #loveforever #SaoRoque #SaoPaulo #Brazil,Juliana Oliveira  Não é o 500x!!! Enquanto aguardo este lindo uso o 500 !!! #loveforever #SaoRoque #SaoPaulo #Brazil20 July at 05:32Remove
Oz,Todd Bridge  Oz5 · 20 July at 06:14Remove
Hi ... I am hussein from egyptI don not have amoney but i want adrive fiat car beacuse i like it very match What can i do for that ?...See more,Hussein Figo  Hi ... I am hussein from egyptI don not have amoney but i want adrive fiat car beacuse i like it very match What can i do for that ?...See more19 July at 19:49Remove
it looks like the car which is in Blackpink's As if your Last video :D,Te Acardi  it looks like the car which is in Blackpink's As if your Last video :D19 July at 05:36Remove
Siz araba yapmayın saçma sapan motor ve pedal yapıyosunuz debriyaj desen berbat gaz desen berbat hidrolik direksiyon desen sıffır konfor yok güvenlık yok asla fiatı tavsiye etmem egea pişmanlıktır,Sinan Atmaz  Siz araba yapmayın saçma sapan motor ve pedal yapıyosunuz debriyaj desen berbat gaz desen berbat hidrolik direksiyon desen sıffır konfor yok güvenlık yok asla fiatı tavsiye etmem egea pişmanlıktır18 July at 07:19Remove
Dear Fiat I wish change the design of your cars especially from the front and the lights,Syrian Automotive  Dear Fiat I wish change the design of your cars especially from the front and the lights1 · 18 July at 07:13Remove
FİAT ALACAKLARIN DIKKATINEmerhaba arkadaslar 02/05/2017Tarihinde ankara fiat bayiinden (ankara oto ) doblo treking model arac aldim aldigim aracla bursaya dogru yola ciktim fakat yolda aracin vitesinde problem oldugunu farkettim bunu uzerine bayi yet...See more,Yaşar Bayraktar  FİAT ALACAKLARIN DIKKATINEmerhaba arkadaslar 02/05/2017Tarihinde ankara fiat bayiinden (ankara oto ) doblo treking model arac aldim aldigim aracla bursaya dogru yola ciktim fakat yolda aracin vitesinde problem oldugunu farkettim bunu uzerine bayi yet...See more13 July at 11:49Remove
Steve Robilliard you could get me both! A spring car and an Autumn car 😝  of course Michele Robilliard you can drive them too,Emma Robilliard  Steve Robilliard you could get me both! A spring car and an Autumn car 😝  of course Michele Robilliard you can drive them too2 · 12 July at 10:33Remove
"I wish change the shape of the lights because it""s ugly and old","Fiat Sy  I wish change the shape of the lights because it""s ugly and old2 · 13 July at 13:18Remove"
todas as montadoras estao si instalando aqui na regiao trazem uma montadora para rio claro.,Fernando Borgueti  todas as montadoras estao si instalando aqui na regiao trazem uma montadora para rio claro.5 July at 09:54Remove
FİAT ALACAKLARIN DIKKATINEmerhaba arkadaslar 02/05/2017Tarihinde ankara fiat bayiinden (ankara oto ) doblo treking model arac aldim aldigim aracla bursaya dogru yola ciktim fakat yolda aracin vitesinde problem oldugunu farkettim bunu uzerine bayi yet...See more,Yaşar Bayraktar  FİAT ALACAKLARIN DIKKATINEmerhaba arkadaslar 02/05/2017Tarihinde ankara fiat bayiinden (ankara oto ) doblo treking model arac aldim aldigim aracla bursaya dogru yola ciktim fakat yolda aracin vitesinde problem oldugunu farkettim bunu uzerine bayi yet...See more5 July at 08:17Remove
"Buenas Tardes, queria comentarles que a pesar de tener unos diseños bonitos es una PENA que en FIAT MEXICO hagan lo que estan haciendo, tienen los vehiculos pero no tienen las refacciones, mi auto esta en la agencia desde el dia 10 de junio debido a qu...See more","Monizzimo Clay  Buenas Tardes, queria comentarles que a pesar de tener unos diseños bonitos es una PENA que en FIAT MEXICO hagan lo que estan haciendo, tienen los vehiculos pero no tienen las refacciones, mi auto esta en la agencia desde el dia 10 de junio debido a qu...See more1 · 4 July at 12:59Remove"
Que bueno que veo este comentario pensaba comprar un carro de estos pero ya no que vergüenza que estés batallando con eso varias amigas querían uno de estos pero tampoco piensan adquirirlo,Susana Duran Araujo  Que bueno que veo este comentario pensaba comprar un carro de estos pero ya no que vergüenza que estés batallando con eso varias amigas querían uno de estos pero tampoco piensan adquirirlo4 July at 21:49Remove
"Instead of this kind of promos, pls put up ur future plans in India.... will be more engaging.... Looks like u r quitting from India.","Manan Dedhia  Instead of this kind of promos, pls put up ur future plans in India.... will be more engaging.... Looks like u r quitting from India.1 · 4 July at 07:46 · EditedRemove"
Hey Mauro Fortunato can you see if you can get one of these stamps for Rob? Greatly appreciated xx,Marisa Tenuta  Hey Mauro Fortunato can you see if you can get one of these stamps for Rob? Greatly appreciated xx4 July at 15:18Remove
"Estimados yo tgo indignación por que me metieron en un Fiat plan y nunca firme un contrato y me están descontando esto fue con autocatedral y Fiat no se hace cargo y a mi me descuentan una cuota sin firmar contrato, tengan mucho cuidado con este concesionario y con fiat que no se hace cargo","Ariel Serrano  Estimados yo tgo indignación por que me metieron en un Fiat plan y nunca firme un contrato y me están descontando esto fue con autocatedral y Fiat no se hace cargo y a mi me descuentan una cuota sin firmar contrato, tengan mucho cuidado con este concesionario y con fiat que no se hace cargo9 July at 17:08Remove"
FİAT ALACAKLARIN DIKKATINEmerhaba arkadaslar 02/05/2017Tarihinde ankara fiat bayiinden (ankara oto ) doblo treking model arac aldim aldigim aracla bursaya dogru yola ciktim fakat yolda aracin vitesinde problem oldugunu farkettim bunu uzerine bayi yet...See more,Yaşar Bayraktar  FİAT ALACAKLARIN DIKKATINEmerhaba arkadaslar 02/05/2017Tarihinde ankara fiat bayiinden (ankara oto ) doblo treking model arac aldim aldigim aracla bursaya dogru yola ciktim fakat yolda aracin vitesinde problem oldugunu farkettim bunu uzerine bayi yet...See more4 July at 10:04Remove
Mark Whittam they are adorable,Emily Rose Whittam  Mark Whittam they are adorable2 · 4 July at 06:38Remove
"Doing this stunts wont help u stay alive here. The question really is, whether FIAT INDIA really wants to ??!!","Manan Dedhia  Doing this stunts wont help u stay alive here. The question really is, whether FIAT INDIA really wants to ??!!1 · 6 July at 00:08Remove"
"Great 500 .It's realy pleasure to drive ,i have    driven this Italian beauty....","Shrikant Nikam  Great 500 .It's realy pleasure to drive ,i have    driven this Italian beauty....1 · 2 July at 09:44Remove"
Looks like mine.,Michael Judd  Looks like mine.6 · 2 July at 05:08Remove
مستحيله,حمدي عثمان مستحيله1 July at 05:03Remove
Hii,Akshay Ghemud Akshayghemud  Hii13 July at 02:08Remove
"Definitely worse colours, but mine would be white.","Debbi Thomas  Definitely worse colours, but mine would be white.30 June at 02:42Remove"
Available in the US? think I might have to trade in my Italia for this Riviera Green!,Shelley A Rowan  Available in the US? think I might have to trade in my Italia for this Riviera Green!2 July at 05:39 · EditedRemove
Looks 100% better than its Mazda counterpart,Jonny R  Looks 100% better than its Mazda counterpart1 · 29 June at 16:17Remove
"Mom in her Fiat, circa mid 1960's. Too bad she didn't still have it!","Danielle Ferrusi  Mom in her Fiat, circa mid 1960's. Too bad she didn't still have it!1 · 30 June at 12:42Remove"
I Have Fiat 500-1969 In Afghanistan . And It Need Preparing . Can You Help Me !,Samim Istalifi  I Have Fiat 500-1969 In Afghanistan . And It Need Preparing . Can You Help Me !29 June at 06:58Remove
All of our best on the road adventures are in our Fiat 500c.,Michael Judd  All of our best on the road adventures are in our Fiat 500c.2 · 28 June at 06:01Remove
دائما رائعه في جميع العصور,حمدي عثمان دائما رائعه في جميع العصور28 June at 05:01Remove
j'ai un message sur ma voiture fiat punto( COUPON ECHU ) qu'est cela veut dire ??? et merci,Karim Ayari  j'ai un message sur ma voiture fiat punto( COUPON ECHU ) qu'est cela veut dire ??? et merci27 June at 14:15Remove
"Eath Wind and Fire ""Lets Groove""  I always GET DOWN TO THAT SONG!","Wise Owl Intuitive Services Astrology and Tarot Readings  Eath Wind and Fire ""Lets Groove""  I always GET DOWN TO THAT SONG!8 July at 09:30Remove"
"Felíz , felíz de haberte tenido 600 !!!, felicidades 500 , por muchos más.","Nora Patricia Marquez  Felíz , felíz de haberte tenido 600 !!!, felicidades 500 , por muchos más.27 June at 16:15Remove"
Ari Amore 😘,Sam Mancarella  Ari Amore 😘27 June at 21:26Remove
"Very nice to see the great success of the timeless 500, but Fiat should also look into the future instead of just dreaming about the past...","Adar Teichner  Very nice to see the great success of the timeless 500, but Fiat should also look into the future instead of just dreaming about the past...27 June at 06:21 · EditedRemove"
j'ai un message sur ma voiture fiat punto( COUPON ECHU ) qu'est cela veut dire ??? et merci,Karim Ayari  j'ai un message sur ma voiture fiat punto( COUPON ECHU ) qu'est cela veut dire ??? et merci27 June at 14:16Remove
you need some catchy commercials like this on American TV!,Steve Parsons  you need some catchy commercials like this on American TV!1 · 26 June at 09:52Remove
"Out on Big Bear Lake, conquering the curves and hair pins","Stv Mqn  Out on Big Bear Lake, conquering the curves and hair pins3 · 24 June at 21:43Remove"
FCA must not want to warranty their FIATS. The only car I ever bought that they did not even offer to extend the warranty at time of sale or when the warranty was running out. They have little faith in their products.,Eugene Golden  FCA must not want to warranty their FIATS. The only car I ever bought that they did not even offer to extend the warranty at time of sale or when the warranty was running out. They have little faith in their products.1 · 26 June at 06:12Remove
"Me encanta, me encanta me encanta!!!","Steffany Rdom  Me encanta, me encanta me encanta!!!1 · 23 June at 12:17Remove"
"Mira Miguel Contreras justo el que quiero, el color, convertible ese es mio 😏","Steffany Rdom  Mira Miguel Contreras justo el que quiero, el color, convertible ese es mio 😏23 June at 09:54Remove"
Great color combination. I miss my 500.,Daniel Sikora  Great color combination. I miss my 500.24 June at 05:41Remove
Wen it will be in India,Suresh Madurai Suresh  Wen it will be in India22 June at 07:31Remove
"Hi Suresh, for more information you can contact the Fiat India official page.","Fiat  Hi Suresh, for more information you can contact the Fiat India official page.2 · 22 June at 09:04Remove"
Bring this to the U.S,Christopher Laflam  Bring this to the U.S1 · 22 June at 07:30Remove
Abby Breneman...mom next car...isnt it cute???,Kimberly Zepp  Abby Breneman...mom next car...isnt it cute???4 July at 19:12 · EditedRemove
👏🏻😄👍🏻,Nelson Lucas Pires  👏🏻😄👍🏻1 · 21 June at 09:26Remove
"En el 8° salón Internacional del Automóvil ,Buenos Aires , Argentina 2017, Bellisimo,",Shinu George  5 · 21 June at 02:25Remove
Nice 124 Spider,Praveen Ns  21 June at 09:20Remove
Benedikt Grewe dann zählt ein Lupo doch bestimmt als zweitkleinste Yacht der Welt 🤔,"Nora Patricia Marquez  En el 8° salón Internacional del Automóvil ,Buenos Aires , Argentina 2017, Bellisimo,1 · 20 June at 22:34Remove"
"Had it been an Abarth, the stork would have brought a couple more of them. 😁",Waller Gremonorh  Nice 124 Spider1 · 21 June at 04:40Remove
One of my favorite ads ever. The car is also very cool. Big like!,Christoph Liu  Benedikt Grewe dann zählt ein Lupo doch bestimmt als zweitkleinste Yacht der Welt 🤔20 June at 11:11Remove
Don't buy a fiat if you live in or near northern Cali.....there's no where to get them serviced.,Joe Mallah  3 · 19 June at 11:27Remove
Soon be driving the Fiat 500 Riva,"Tanmay Kansal  Had it been an Abarth, the stork would have brought a couple more of them. 😁2 · 19 June at 11:14 · EditedRemove"
heres a new name for you guys if you like it the fiat mountinear good enough to climg mouatinous hills with track stablility and quality safety capability,Adar Teichner  One of my favorite ads ever. The car is also very cool. Big like!2 · 19 June at 10:36Remove
Off to Grammys in her Fiat E👍,Destiny Parr  Don't buy a fiat if you live in or near northern Cali.....there's no where to get them serviced.1 · 17 June at 15:42Remove
Let this be a cautionary tale to anyone researching purchasing a Fiat vehicle. They do not stand behind their product. On May 1st I took the still-under-warranty Alaska Photo Treks ProMaster van to Lithia Super Store South Anchorage for winter tire cha...See more,Luigi Di Leo  Soon be driving the Fiat 500 Riva17 June at 09:32Remove
Where can you buy one in Australia? I rang a local Fiat dealer yesterday and he said he'd never heard of them. I was very annoyed and told him he was a lousy salesman. How much are they to buy in Europe? 😁,Antoine Curry  heres a new name for you guys if you like it the fiat mountinear good enough to climg mouatinous hills with track stablility and quality safety capability14 June at 17:36Remove
Love the song. What's the title and singer? Happy 60th!! Forever young.,Carolyn Hallbeck-Pidgeon  Off to Grammys in her Fiat E👍2 · 14 June at 11:33Remove
"Hi Lucas, it's ""Morning Good Morning"" by Lincoln Grounds, thank you!",Jody Overstreet  Let this be a cautionary tale to anyone researching purchasing a Fiat vehicle. They do not stand behind their product. On May 1st I took the still-under-warranty Alaska Photo Treks ProMaster van to Lithia Super Store South Anchorage for winter tire cha...See more17 June at 17:11 · EditedRemove
Where can you buy one in Australia? I rang a local Fiat dealer yesterday and he said he'd never heard of them. I was very annoyed and told him he was a lousy salesman. How much are they to buy in Europe? 😁,Lisa Pizzey  Where can you buy one in Australia? I rang a local Fiat dealer yesterday and he said he'd never heard of them. I was very annoyed and told him he was a lousy salesman. How much are they to buy in Europe? 😁13 June at 15:31Remove
Mira Gusti Arce. Tendria q volver el fitito de antes. Amor quiero mi fititoooooo,Lucas Nestor  Love the song. What's the title and singer? Happy 60th!! Forever young.13 June at 20:13Remove
GR EZ we should take our FIAT whenever we go overseas,"Fiat  Hi Lucas, it's ""Morning Good Morning"" by Lincoln Grounds, thank you!1 · 14 June at 03:43 · EditedRemove"
All FIAT models are awesome.But Panda 4x4 is beyond awesomeness; unbelievable.. 8-),Lisa Pizzey  Where can you buy one in Australia? I rang a local Fiat dealer yesterday and he said he'd never heard of them. I was very annoyed and told him he was a lousy salesman. How much are they to buy in Europe? 😁13 June at 15:40Remove
"Love the 500L, but how about a GPS map update for my 2014 500L? No update since I purchased it. Makes the GPS worthless to use for navagation.",Erika Tama López  Mira Gusti Arce. Tendria q volver el fitito de antes. Amor quiero mi fititoooooo1 · 10 June at 18:12Remove
"I need this car to get laid, but I'll buy a Tesla because I'm just a nerd and there's no fooling anyone.",Robledo Gustavo  GR EZ we should take our FIAT whenever we go overseas1 · 10 June at 08:22Remove
Is it AWD yet?,Volkan Bozkurt  All FIAT models are awesome.But Panda 4x4 is beyond awesomeness; unbelievable.. 8-)10 June at 05:08Remove
Hi Steve you can find more information about the new Fiat 500L Cross here: https://www.fiat.com/fiat-500l/500l-cross,"Jim Walsh  Love the 500L, but how about a GPS map update for my 2014 500L? No update since I purchased it. Makes the GPS worthless to use for navagation.2 · 9 June at 09:44Remove"
I'd like one...but this is not an improvement in looks...at least in the photo,"Ian Hunter Crocker  I need this car to get laid, but I'll buy a Tesla because I'm just a nerd and there's no fooling anyone.9 June at 14:10Remove"
"Hello,I am Riadh Ben Rebah, I bought a Fiat Punto car from the Fiat Sfax house (Tunisia) since 03-01-2012. The car has not exceeded 66 thousand km, its engine consumes oil in an incredible way (a drain allows me to use the car only 1700 km).Please check the problem knowing that I have not found a solution with the house Fiat in Tunisia...See more",Steve Mark  Is it AWD yet?3 · 8 June at 10:33Remove
"Hi Hassen, you can write to Fiat Middle East official page.",Fiat  Hi Steve you can find more information about the new Fiat 500L Cross here: https://www.fiat.com/fiat-500l/500l-cross9 June at 01:14Remove
"How to make a compalints against ""Nile Engineering Service Center for Fiat- Egypt""???",Steve Parsons  I'd like one...but this is not an improvement in looks...at least in the photo8 June at 10:39Remove
"Hi Nahla, you can write to Fiat Egypt.","Hassen Ben Rebah  Hello,I am Riadh Ben Rebah, I bought a Fiat Punto car from the Fiat Sfax house (Tunisia) since 03-01-2012. The car has not exceeded 66 thousand km, its engine consumes oil in an incredible way (a drain allows me to use the car only 1700 km).Please check the problem knowing that I have not found a solution with the house Fiat in Tunisia...See more5 June at 06:11Remove"
How to buy?,"Fiat  Hi Hassen, you can write to Fiat Middle East official page.6 June at 03:29 · EditedRemove"
"Hi Winnie, you can ask more informations here:  http://www.fiat.com.hk/en/shopping-tools/find-dealer/","Nahla Mahmoud  How to make a compalints against ""Nile Engineering Service Center for Fiat- Egypt""???29 May at 01:43Remove"
"FIAT, I L-O-V-E my 2014 500L Trekking. Flawless. Wish I could pull a jet ski with it. Any plans for an AWD version?","Fiat  Hi Nahla, you can write to Fiat Egypt.29 May at 05:16Remove"
Still loving our '14 500L,Winnie Ling  How to buy?28 May at 09:08Remove
As a #FIATlover Its not at all happy to see half or less than half percent of ur sales in India.. please introduce ur best models here.... we are bored of using most used brands..we dont want same car wearing different clothes and naming as  #punto ...See more,"Fiat  Hi Winnie, you can ask more informations here:  http://www.fiat.com.hk/en/shopping-tools/find-dealer/29 May at 01:22 · EditedRemove"
"I do not recommend a friend nor do I get a car this brand. They said they would deliver 3 cars in 3 days and they have not been delivered for 1 month. Moreover, they took the money and tied our arm. Fiat is a regret.","Charles Quinn  FIAT, I L-O-V-E my 2014 500L Trekking. Flawless. Wish I could pull a jet ski with it. Any plans for an AWD version?2 · 27 May at 00:47Remove"
I love mine.    Don't care about the negativity on here.  :),Glen Goering  Still loving our '14 500L9 · 26 May at 09:57Remove
People that drive these are the same people driving slower in the left lane with the turn signal on. Lolololol silly sheeple,Mvr Phanindran  As a #FIATlover Its not at all happy to see half or less than half percent of ur sales in India.. please introduce ur best models here.... we are bored of using most used brands..we dont want same car wearing different clothes and naming as  #punto ...See more5 · 24 May at 09:44Remove
Bring the normal Fiat 124 Spider to South Africa in addition to the Abarth version. The Abarth version is just too expensive but we want to drive them!,"Uğur Bütün  I do not recommend a friend nor do I get a car this brand. They said they would deliver 3 cars in 3 days and they have not been delivered for 1 month. Moreover, they took the money and tied our arm. Fiat is a regret.1 · 3 June at 01:14Remove"
Living the dream every day  ;),Jean Pierre  I love mine.    Don't care about the negativity on here.  :)10 · 24 May at 07:54Remove
Hello Fiat when are you going to bring such good models to India,Justin Case  People that drive these are the same people driving slower in the left lane with the turn signal on. Lolololol silly sheeple24 May at 17:44Remove
"Hi Jenson, you can write to Fiat India for more informations.",Jyoshil Pitamber  Bring the normal Fiat 124 Spider to South Africa in addition to the Abarth version. The Abarth version is just too expensive but we want to drive them!23 May at 09:12Remove
احلى فيات,Jean Pierre  Living the dream every day  ;)6 · 23 May at 06:31Remove
"merhaba, egea easy 1.3 aracımı ilk bakım olan 10000 km bakımına götürdüğümde ""yazılım güncellemesi"" var dediler yüklediler, bu güncellemenin içeriğini öğrenebilirmiyim, çünkü bu yazılım yüklendikten 1 gün sonra lastiklerde sorun olmamasına rağmen lastik havası uyarı ışığı yanmaya başladı hala yanıyor..",Jenson Jacob  Hello Fiat when are you going to bring such good models to India1 · 22 May at 22:36Remove
The Fiat store in London organizes the Beatles festival and they still owe money to a lot of people from last year including several of the Performing Artists.  Such an unethical company.  I would NEVER even thing about buying Fiat.,"Fiat  Hi Jenson, you can write to Fiat India for more informations.2 · 23 May at 03:39Remove"
Rather stupid I think...gives people another reason to pay less attention to driving,حمدي عثمان احلى فيات25 May at 06:53Remove
"""I'm sorry, did you say 'what a terrific bike owned Wayme?' ""","Savaş Karamus  merhaba, egea easy 1.3 aracımı ilk bakım olan 10000 km bakımına götürdüğümde ""yazılım güncellemesi"" var dediler yüklediler, bu güncellemenin içeriğini öğrenebilirmiyim, çünkü bu yazılım yüklendikten 1 gün sonra lastiklerde sorun olmamasına rağmen lastik havası uyarı ışığı yanmaya başladı hala yanıyor..10 June at 01:37Remove"
"Is Apple play available here, on Fiats. In NA.",Angela Tehrani  The Fiat store in London organizes the Beatles festival and they still owe money to a lot of people from last year including several of the Performing Artists.  Such an unethical company.  I would NEVER even thing about buying Fiat.20 May at 05:19Remove
"This would be nice in the US... I'm tired of looking at Volvo Cross Countries, lmao",Steve Parsons  Rather stupid I think...gives people another reason to pay less attention to driving17 May at 11:36Remove
Home is where mum or dad or both are. And where our 500C or 500X or both are.,Madjid Ait Djebbara  17 May at 13:02Remove
I love mine! !  :),"Donny Baker  ""I'm sorry, did you say 'what a terrific bike owned Wayme?' ""15 May at 17:32Remove"
hey it´s mine eh hahaaa,"Steve Mark  Is Apple play available here, on Fiats. In NA.15 May at 15:45Remove"
When is the latest Fiat Tipo coming to SA?,"Jonny R  This would be nice in the US... I'm tired of looking at Volvo Cross Countries, lmao2 · 14 May at 17:05Remove"
"Hi, for more information you can contact Fiat South Africa.",Ed Ve Avinoam Müller  Home is where mum or dad or both are. And where our 500C or 500X or both are.1 · 14 May at 04:03Remove
Cmon Fiat India we need more cars more products and more dealers from u guys.... India is a competitive market ruled by Maruti and Hyundai... So do some thing... Only with 3 cars u all cannot survive 🙄,Jean Pierre  I love mine! !  :)7 · 12 May at 10:54Remove
Hi! we suggest you to contact Fiat India for more information.,Aura Cruz Rubio  hey it´s mine eh hahaaa1 · 12 May at 09:43Remove
Price,Vuyani Bob  When is the latest Fiat Tipo coming to SA?11 May at 12:16Remove
Hi Omkar! You can contact the official Fiat India Facebook page.,"Fiat  Hi, for more information you can contact Fiat South Africa.25 May at 01:11Remove"
DOBLÓ 6-7 ASIENTOS?,Paul Sharma  Cmon Fiat India we need more cars more products and more dealers from u guys.... India is a competitive market ruled by Maruti and Hyundai... So do some thing... Only with 3 cars u all cannot survive 🙄9 May at 09:19Remove
"Hi Enriqueta, you can write to the Fiat Auto Argentina official Facebook page.",Fiat  Hi! we suggest you to contact Fiat India for more information.17 May at 05:59Remove
Nice car fiat 500.... I like this car vry much,Omkar Krrish  Price8 May at 17:54Remove
Hi Vicky we suggest you to contact Fiat India official Facebook page.,Fiat  Hi Omkar! You can contact the official Fiat India Facebook page.9 May at 09:48Remove
"Péssimo atendimento, pós venda pior ainda, acabei de me sentir em uma repartição pública pelo tanto de burocracias e demora de atendimento.O som do meu carro tem kit multimídia Bluetooth que comprei a parte e não funciona a reprodução de músicas pelo ...See more",Enriqueta Maciel  DOBLÓ 6-7 ASIENTOS?6 May at 20:07Remove
me compre un auto fiat palio estaba casi fundido el motor lo mande al mecanico tambien me estafo ahora tengo problema con la caja de cambio  estoy mal me tiene sin confianza ayudenme por favor estoy mal es mi primer auto necesito ayuda q ago,"Fiat  Hi Enriqueta, you can write to the Fiat Auto Argentina official Facebook page.9 May at 09:50Remove"
Ma voiture chérie.😘😘😘,Vicky Kpor  Nice car fiat 500.... I like this car vry much1 · 5 May at 22:44Remove
Launch in India at earliest....,Fiat  Hi Vicky we suggest you to contact Fiat India official Facebook page.9 May at 09:51Remove
Hi! for more information you can contact Fiat India ;),"Daniel Souza  Péssimo atendimento, pós venda pior ainda, acabei de me sentir em uma repartição pública pelo tanto de burocracias e demora de atendimento.O som do meu carro tem kit multimídia Bluetooth que comprei a parte e não funciona a reprodução de músicas pelo ...See more2 · 5 May at 12:07Remove"
"Ohara Betinho pena que esses carros a FIAT nem vem ao Brasil, se viesse tbm, não teria bolso pra bancar.",HM Saad  9 · 5 May at 06:36Remove
Moi j'ai est une et je suis au Québec dans la neige 6 mois par année je l'adore mon 4x4 de ma Fiat 🤣🤣,Willy Alberto Solano  me compre un auto fiat palio estaba casi fundido el motor lo mande al mecanico tambien me estafo ahora tengo problema con la caja de cambio  estoy mal me tiene sin confianza ayudenme por favor estoy mal es mi primer auto necesito ayuda q ago4 May at 12:55Remove
"On road...but  it's good that it has off-road capabilities too...just in case I want to go to a picnic in a remote place, after I push it on fast, twisty mountain roads.",Madjid Ait Djebbara  Ma voiture chérie.😘😘😘4 May at 12:17Remove
"Luciano Lourenço CostaEndereço: Rua Castro Alves 796, Copacabana BH MG...See more",Shrikant Nikam  Launch in India at earliest....2 May at 10:38Remove
Bu araba önden çekişli olmalıydı 😐,Fiat  Hi! for more information you can contact Fiat India ;)4 May at 06:57Remove
