comments,
"Hello Honda team, I am having the worst car experience in my life with the brand new Accord Coupe that I bough few days ago in UAE. I wanted to reach the head office to make a complaint but I could not! Looking forward your feedback and to explain the problem. Thanks.","Amr Daoud  Hello Honda team, I am having the worst car experience in my life with the brand new Accord Coupe that I bough few days ago in UAE. I wanted to reach the head office to make a complaint but I could not! Looking forward your feedback and to explain the problem. Thanks.1 · 17 November 2016 at 22:28Remove"
Thank you for contacting us.  We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please check out http://honda.us/u7w. ^SP,Honda  Thank you for contacting us.  We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please check out http://honda.us/u7w. ^SP2 · 18 November 2016 at 07:07Remove
"My 16 y/o daughter called to tell me she had rear ended another car with her 99 Accord. I couldn't get any answers out of her for at least a minute because she kept saying ""I lost the H off the front of my car"". After I finally assured her it could be replaced, she informed me that no one was hurt, where she was, car was drivable, etc.","Patricia Melton  My 16 y/o daughter called to tell me she had rear ended another car with her 99 Accord. I couldn't get any answers out of her for at least a minute because she kept saying ""I lost the H off the front of my car"". After I finally assured her it could be replaced, she informed me that no one was hurt, where she was, car was drivable, etc.2 · 3 February at 07:06Remove"
"Hello, thank you for contacting us.  We are sorry to hear about your daughter's accident but glad to hear she is okay.  We’d like to formally document the incident for internal review in our office.  Please send her name, address, phone #, VIN, mileage, and the name of your Honda dealer in a secure private message. Thank you and we look forward to your reply. ^RR","Honda  Hello, thank you for contacting us.  We are sorry to hear about your daughter's accident but glad to hear she is okay.  We’d like to formally document the incident for internal review in our office.  Please send her name, address, phone #, VIN, mileage, and the name of your Honda dealer in a secure private message. Thank you and we look forward to your reply. ^RR1 · 3 February at 08:24Remove"
"My first Honda was a 1979 Honda Civic. 1200cc engine, 2 speed automatic that you had to shift with a manual choke and 12"" tires.","Gregory L Davis  My first Honda was a 1979 Honda Civic. 1200cc engine, 2 speed automatic that you had to shift with a manual choke and 12"" tires.8 · 2 February at 17:28Remove"
"Hello and thank you for reaching out to us. You are welcome to share your story with us at http://automobiles.honda.com/I-love-my-honda/, our Honda owner's loyalty hub. Thank you. ^RB","Honda  Hello and thank you for reaching out to us. You are welcome to share your story with us at http://automobiles.honda.com/I-love-my-honda/, our Honda owner's loyalty hub. Thank you. ^RB4 · 2 February at 13:26Remove"
"Love my 2016 Honda Pilot.  The only complaint so far is it has 3 rows of seats. Honda decides as a cost cutting measure to omit floor mats for the 3rd row, only comes on touring and touring elite models.  What the crap is next? I bet next year they will start charging for seat belts unless you go high end.","Michael D Baines  Love my 2016 Honda Pilot.  The only complaint so far is it has 3 rows of seats. Honda decides as a cost cutting measure to omit floor mats for the 3rd row, only comes on touring and touring elite models.  What the crap is next? I bet next year they will start charging for seat belts unless you go high end.2 · 2 February at 17:00 · EditedRemove"
"Hello, thank you for reaching out to us at American Honda. We certainly appreciate your feedback and will certainly document your concerns on file for all areas of our company to have access to. Feel free to reach out to us with any questions. Thank you.  ^CV","Honda  Hello, thank you for reaching out to us at American Honda. We certainly appreciate your feedback and will certainly document your concerns on file for all areas of our company to have access to. Feel free to reach out to us with any questions. Thank you.  ^CV1 · 3 February at 06:22Remove"
Can you just fix my Bluetooth in my 2015 so it doesn't have a 4 second delay.,Donald Morris · 39:08  Can you just fix my Bluetooth in my 2015 so it doesn't have a 4 second delay.8 · 9 January at 09:30Remove
"Hello, we are sorry to hear that your vehicle is having issues. We recommend calling the Tech Support Department at 888-528-7876. Thank you. ^SP","Honda ·   Hello, we are sorry to hear that your vehicle is having issues. We recommend calling the Tech Support Department at 888-528-7876. Thank you. ^SP3 · 9 January at 13:54Remove"
Does the 2018 Odyssey have the ability to play Blue Ray DVDs?,Nicholas Jungovic · 39:17  Does the 2018 Odyssey have the ability to play Blue Ray DVDs?1 · 10 January at 11:07Remove
We don't have that specific information yet but we will keep you updated when we know more.,Honda ·   We don't have that specific information yet but we will keep you updated when we know more.4 · 10 January at 11:39Remove
"Introducing the, bread box! It's all electric, square as the person who will be driving it and screams I can't get laid and never will driving this thing. Anybody down for some toast?","Don Bolin · 0:00  Introducing the, bread box! It's all electric, square as the person who will be driving it and screams I can't get laid and never will driving this thing. Anybody down for some toast?2 · 6 January at 03:25Remove"
"The UK desperately needs an odyssey (not the bloated USA version,  sorry guys)  it's the best people mover in Oz so why not bring it here to plug the gap since the old frv passed away ?","Gaz J Mills · 3:49  The UK desperately needs an odyssey (not the bloated USA version,  sorry guys)  it's the best people mover in Oz so why not bring it here to plug the gap since the old frv passed away ?4 · 5 January at 15:20Remove"
"Where's the Type R for North America we've been promised? Yeah, that's right","Tyler Mason · 0:55  Where's the Type R for North America we've been promised? Yeah, that's right2 · 5 January at 13:07Remove"
Honda mean technology... but when it comes to car...THE COMPANY  lack,Tushar N Rashmi Patel · 4:53  Honda mean technology... but when it comes to car...THE COMPANY  lack2 · 6 January at 03:41Remove
Honda updated software in my 2015 CRV and the vibration problem that I was having has been fixed.,John VanOveren · 22:24  Honda updated software in my 2015 CRV and the vibration problem that I was having has been fixed.2 · 5 January at 14:51Remove
"Hello, thank you for contacting us.  We are glad to hear the vibration issue has been resolved with your vehicle.  We appreciate your feedback as it is very important to us! ^RR","Honda ·   Hello, thank you for contacting us.  We are glad to hear the vibration issue has been resolved with your vehicle.  We appreciate your feedback as it is very important to us! ^RR2 · 5 January at 15:01Remove"
Well Honda while you are dreaming up the future please remember us in the past that bought the 2015 CRV that has a vibration when idling . Why are you not doing something about this? We Honda customers are pretty loyal to your products. I just wish you...See more,Don White · 11:27  Well Honda while you are dreaming up the future please remember us in the past that bought the 2015 CRV that has a vibration when idling . Why are you not doing something about this? We Honda customers are pretty loyal to your products. I just wish you...See more7 · 5 January at 11:11Remove
"Hello, thank you for contacting us.  We are sorry to hear about the issue you are experiencing with your vehicle.  Please Pm us your VIN and advise if you had an opportunity to have the issue diagnosed with your Honda dealer. ^RR","Honda ·   Hello, thank you for contacting us.  We are sorry to hear about the issue you are experiencing with your vehicle.  Please Pm us your VIN and advise if you had an opportunity to have the issue diagnosed with your Honda dealer. ^RR1 · 5 January at 11:30Remove"
"Hello. I am from Turkey. I own a New civic sedan. Recently, in our country we have a problem about the our cars. Although we have reported, The authourities did not return to us. Hundreds of People have the same problem. Our problem is that: There is a dent(s) on the rear right and/or left window of our cars. I demand that the subject be resolved. Best regards...","Yasin Bolbol · 0:00  Hello. I am from Turkey. I own a New civic sedan. Recently, in our country we have a problem about the our cars. Although we have reported, The authourities did not return to us. Hundreds of People have the same problem. Our problem is that: There is a dent(s) on the rear right and/or left window of our cars. I demand that the subject be resolved. Best regards...1 · 14 July at 11:10Remove"
Thank you for contacting us. We are with American Honda Motor Co. Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  \https://www.facebook.com/HondaTR .  We hope this helps. ^CB,"Honda ·   Thank you for contacting us. We are with American Honda Motor Co. Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  \https://www.facebook.com/HondaTR .  We hope this helps. ^CBHonda TürkiyeCars1,760,666 people like this1 · 14 July at 14:20Remove"
"Hello. I am from Turkey. I own a New civic sedan. Recently, in our country we have a problem about the our cars. Although we have reported, The authourities did not return to us. Hundreds of People have the same problem. Our problem is that: There is a dent(s) on the rear right and/or left window of our cars. I demand that the subject be resolved. Best regards...","Erdal Ertosun · 0:00  Hello. I am from Turkey. I own a New civic sedan. Recently, in our country we have a problem about the our cars. Although we have reported, The authourities did not return to us. Hundreds of People have the same problem. Our problem is that: There is a dent(s) on the rear right and/or left window of our cars. I demand that the subject be resolved. Best regards...1 · 14 July at 11:04Remove"
Thank you for contacting us. We are with American Honda Motor Co. Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  \https://www.facebook.com/HondaTR .  We hope this helps. ^CB,"Honda ·   Thank you for contacting us. We are with American Honda Motor Co. Inc. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  \https://www.facebook.com/HondaTR .  We hope this helps. ^CBHonda TürkiyeCars1,760,666 people like this14 July at 14:21Remove"
Are they going to talk about horsepower specs on the type r? Or will that be next year?,Josh Tonelli · 19:14  Are they going to talk about horsepower specs on the type r? Or will that be next year?2 · 1 November 2016 at 12:09Remove
"Hello, thank you for reaching out to us at American Honda. We appreciate your interest in the Honda brand. Any new model information can be found on automobiles.honda.com or hondanew.com    Feel free to contact us with any questions. Thank you. ^CV","Honda ·   Hello, thank you for reaching out to us at American Honda. We appreciate your interest in the Honda brand. Any new model information can be found on automobiles.honda.com or hondanew.com    Feel free to contact us with any questions. Thank you. ^CVHonda Cars - New and Certified Pre-Owned Vehicles from American HondaHonda Cars - Home of information on the latest Honda cars and SUV models, Certified Pre-Owned Vehicles. Photos, videos, technical specs and dealer locations for all car models from American Honda.automobiles.honda.com1 · 1 November 2016 at 12:11Remove"
Still waiting for my Takata airbag replacement,Gary Ehmke · 0:22  Still waiting for my Takata airbag replacement12 · 1 November 2016 at 16:38Remove
"Hello, thank you for reaching out to us. We're sorry for the inconvenience and frustration the Takata Airbag Inflator Recall has caused. As soon as parts become available to address the recall, American Honda will notify its affected customers. If you have any questions or concerns, feel free to contact our Recall/Campaigns Department at (800)999-1009 option #4. We thank you for your patience and understanding. ^RR","Honda ·   Hello, thank you for reaching out to us. We're sorry for the inconvenience and frustration the Takata Airbag Inflator Recall has caused. As soon as parts become available to address the recall, American Honda will notify its affected customers. If you have any questions or concerns, feel free to contact our Recall/Campaigns Department at (800)999-1009 option #4. We thank you for your patience and understanding. ^RR3 · 1 November 2016 at 16:54Remove"
I work at a Honda dealership when should we expect it to hit the stores?,Omri Wilson · 1:09  I work at a Honda dealership when should we expect it to hit the stores?5 · 3 November 2016 at 06:02Remove
"Hello, thank you for reaching out to us at American Honda. We appreciate your interest in the Honda brand. Any new release information can be found on automobiles.honda.com or hondanew.com   Feel free to contact us with any questions. Thank you. ^CV","Honda ·   Hello, thank you for reaching out to us at American Honda. We appreciate your interest in the Honda brand. Any new release information can be found on automobiles.honda.com or hondanew.com   Feel free to contact us with any questions. Thank you. ^CVHonda Cars - New and Certified Pre-Owned Vehicles from American HondaHonda Cars - Home of information on the latest Honda cars and SUV models, Certified Pre-Owned Vehicles. Photos, videos, technical specs and dealer locations for all car models from American Honda.automobiles.honda.com2 · 3 November 2016 at 06:29Remove"
Any news on the sport touring hatchback release date?,Levi Blank · 0:00  Any news on the sport touring hatchback release date?1 · 1 November 2016 at 10:08Remove
"Hello, thank you for reaching out to us at American Honda. We appreciate your interest in the Honda brand. Any new release information can be found on automobiles.honda.com or hondanew.com    Feel free to contact us with any questions. Thank you. ^CV","Honda ·   Hello, thank you for reaching out to us at American Honda. We appreciate your interest in the Honda brand. Any new release information can be found on automobiles.honda.com or hondanew.com    Feel free to contact us with any questions. Thank you. ^CVHonda Cars - New and Certified Pre-Owned Vehicles from American HondaHonda Cars - Home of information on the latest Honda cars and SUV models, Certified Pre-Owned Vehicles. Photos, videos, technical specs and dealer locations for all car models from American Honda.automobiles.honda.com2 · 2 November 2016 at 14:05Remove"
Went to the Ridgeline training in Texas I hope they do the same for the Type R,Ron Restuccio · 1:37  Went to the Ridgeline training in Texas I hope they do the same for the Type R3 · 1 November 2016 at 09:13Remove
"Shout out from christchurch l, New Zealand...go the type R! Lol","Taina Kahutia Tawhitopou Connell · 2:10  Shout out from christchurch l, New Zealand...go the type R! Lol1 · 1 November 2016 at 09:14Remove"
"Honda needs to bring back the Element. I've been looking at the CR-V which are nice but I'm just not fond of the rear end style. I love the new Pilot but they're expensive, and out of my price range. I'm torn because I've been a Honda owner but some ...See more","Veronica Jefferson  Honda needs to bring back the Element. I've been looking at the CR-V which are nice but I'm just not fond of the rear end style. I love the new Pilot but they're expensive, and out of my price range. I'm torn because I've been a Honda owner but some ...See more9 · 14 July 2016 at 21:35Remove"
"Hello, thank you for contacting us. We appreciate your feedback. It is very important to us and it will be properly documented. ^DR","Honda  Hello, thank you for contacting us. We appreciate your feedback. It is very important to us and it will be properly documented. ^DR4 · 15 July 2016 at 09:00Remove"
"I had given my car for sevice an warranty repair at Rajkot, Gujarat, India service centre on last saturday dated 13 Aug, 2016. It is still not given back to me. Car no. GJ 03 ER 0073. Hope for good response thanks.","Parth Sejpal  I had given my car for sevice an warranty repair at Rajkot, Gujarat, India service centre on last saturday dated 13 Aug, 2016. It is still not given back to me. Car no. GJ 03 ER 0073. Hope for good response thanks.4 · 21 August 2016 at 09:15Remove"
Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  http://honda.us/bAY  We hope this helps. ^CV,Honda  Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting  http://honda.us/bAY  We hope this helps. ^CV22 August 2016 at 06:52Remove
"I'm wanting to buy a minivan. Would be nice if I could buy a Honda with a military discount. I'm a veteran, so it would be nice if veterans were included in on the deals.","Joanna Sees  I'm wanting to buy a minivan. Would be nice if I could buy a Honda with a military discount. I'm a veteran, so it would be nice if veterans were included in on the deals.8 · 7 July 2016 at 06:26Remove"
"Joanna, thank you for your service. We would recommend looking into our Military Appreciation Offer. You can find out more about it here: http://honda.us/u4d","Honda  Joanna, thank you for your service. We would recommend looking into our Military Appreciation Offer. You can find out more about it here: http://honda.us/u4dHonda Cars Offers & Leases Detail - Official WebsiteGet full details on the latest special offers for Honda vehicles in your area.automobiles.honda.com4 · 7 July 2016 at 15:11Remove"
"Honda is really playing us, and disregard our safety, their system is a mess, not professional at all!!! I received the airbag replacement letter about my honda accord few months back, then about 3 months ago, i make an appointment and bring my car to ...See more","Song Yun  Honda is really playing us, and disregard our safety, their system is a mess, not professional at all!!! I received the airbag replacement letter about my honda accord few months back, then about 3 months ago, i make an appointment and bring my car to ...See more1 · 28 September 2016 at 21:46Remove"
Respected. Sir I'm request u to help me. I purchased new Honda hornet160r before 4 month from prabh honda akola but from first day of buy many problem in bike. I complete to dealer @ many problem in that bike. But dealer says wait upto first servicing...See more,Uzair Karim  Respected. Sir I'm request u to help me. I purchased new Honda hornet160r before 4 month from prabh honda akola but from first day of buy many problem in bike. I complete to dealer @ many problem in that bike. But dealer says wait upto first servicing...See more3 · 29 September 2016 at 11:39Remove
Thank you for contacting us.  We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please check out  http://honda.us/dBr. ^SP,Honda  Thank you for contacting us.  We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please check out  http://honda.us/dBr. ^SPHonda Car India | Honda Amaze | Honda City | All New JazzLeading premium car manufacturer in India…hondacarindia.com29 September 2016 at 12:22Remove
Why was Honda US and most likely Honda Corp Japan was also sued too by Malaysian with Us citizenship?Looking at how incompetent handling of Honda Malaysia handle issue and inability to even write an official letter to customer....See more,Tang Weng Kit  Why was Honda US and most likely Honda Corp Japan was also sued too by Malaysian with Us citizenship?Looking at how incompetent handling of Honda Malaysia handle issue and inability to even write an official letter to customer....See more4 July 2016 at 14:57Remove
"1. Owner’s manual, pg 48, references power folding mirrors *if so equipped.  I do not see these as an option anywhere………..2. Locking tailgate – in the spec sheet (link below), it mentions “power door and tailgate locks”...See more","Jeff Bebout  1. Owner’s manual, pg 48, references power folding mirrors *if so equipped.  I do not see these as an option anywhere………..2. Locking tailgate – in the spec sheet (link below), it mentions “power door and tailgate locks”...See more8 · 6 July 2016 at 11:13 · EditedRemove"
"Good afternoon, thank you for reaching out to us. The tailgate in the 2017 Honda Ridgeline is not designed to lock it self. However, the trunk/cooler (in-bed trunk) does lock. ^ND","Honda  Good afternoon, thank you for reaching out to us. The tailgate in the 2017 Honda Ridgeline is not designed to lock it self. However, the trunk/cooler (in-bed trunk) does lock. ^ND4 · 6 July 2016 at 14:48Remove"
"My Ridgeline is just over a month old. Took it to the 4X4 Outer Banks NC where you can only drive on the beach, no roads. Family vacation. This truck is everything you say it is. Had a ball 4 wheeling in the sand. Photo of all 12 of us in the truck, even the 1 year old in a car seat. Great vehicle!","Bryce Lane  My Ridgeline is just over a month old. Took it to the 4X4 Outer Banks NC where you can only drive on the beach, no roads. Family vacation. This truck is everything you say it is. Had a ball 4 wheeling in the sand. Photo of all 12 of us in the truck, even the 1 year old in a car seat. Great vehicle!12 · 27 August 2016 at 06:37 · EditedRemove"
"Dear Honda. As a Malaysian, I would love to apologize that you have to deal with these failure of Malaysians. Apparently Nasi Lemak's sambal isnt salty enough for certain Malaysians.","Hitoru Kiyo  Dear Honda. As a Malaysian, I would love to apologize that you have to deal with these failure of Malaysians. Apparently Nasi Lemak's sambal isnt salty enough for certain Malaysians.16 · 27 June 2016 at 01:10Remove"
Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting http://honda.us/a9S thank you for contacting us.  We hope this helps. ^CV,Honda  Thank you for contacting us. We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please try contacting http://honda.us/a9S thank you for contacting us.  We hope this helps. ^CV4 · 27 June 2016 at 07:58Remove
Why was Honda US and most likely Honda Corp Japan was also sued too by Malaysian with Us citizenship?Looking at how incompetent handling of Honda Malaysia handle issue and inability to even write an official letter to customer....See more,Tang Weng Kit  Why was Honda US and most likely Honda Corp Japan was also sued too by Malaysian with Us citizenship?Looking at how incompetent handling of Honda Malaysia handle issue and inability to even write an official letter to customer....See more6 · 4 July 2016 at 14:57Remove
Thank you for contacting us.  We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please check out  http://honda.us/w3v. ^SP,Honda  Thank you for contacting us.  We are with American Honda Motor Co. and deal mainly with Honda vehicles made for sale and use within the United States. Please check out  http://honda.us/w3v. ^SPRequest Rejectedhonda.com.my1 · 5 July 2016 at 07:41Remove
"Its a shame that people are expressing their hateful views here and elsewhere when innocent people have died. Hate the sin, not the sinner if you must.With that being said, the LGBT community certainly appreciates your support❤️💛💚💙💜","Alicia Artz  Its a shame that people are expressing their hateful views here and elsewhere when innocent people have died. Hate the sin, not the sinner if you must.With that being said, the LGBT community certainly appreciates your support❤️💛💚💙💜24 · 13 June 2016 at 12:45Remove"
"Uma pena Honda que os funcionários que te representam no facebook querem que as leis islâmicas que torturam e matam homossexuais em países de maioria muçulmana sejam implementadas aqui no Brasil para matar e torturar os homossexuais brasileiros, o que desanima muito de consumir um produto que passa pela mão de pessoas que desejam a morte de muitos brasileiros e deseja que milhares de famílias sejam destruídas.","Nando Lacerda  Uma pena Honda que os funcionários que te representam no facebook querem que as leis islâmicas que torturam e matam homossexuais em países de maioria muçulmana sejam implementadas aqui no Brasil para matar e torturar os homossexuais brasileiros, o que desanima muito de consumir um produto que passa pela mão de pessoas que desejam a morte de muitos brasileiros e deseja que milhares de famílias sejam destruídas.12 · 17 June 2016 at 13:01Remove"
